unit_type,unit_name,combustion_unit_category,tech_scenario,scenario_rank,capex_formula,efficiency,...8
PD (Product or intermediate product dryer),4 Gluten Dryer,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),9 Gluten Dryer,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),9 Gluten Dryer,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),9 Gluten Dryer,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),9 Gluten Dryer,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),9 Gluten Dryer,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),9 Gluten Dryer,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Blood Drier #4,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),Blood Drier #4,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),Blood Drier #4,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Blood Drier #4,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Blood Drier #4,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Blood Drier #4,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Dryer #3,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),Dryer #3,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),Dryer #3,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Dryer #3,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Dryer #3,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Dryer #3,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Dryer 1,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),Dryer 1,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),Dryer 1,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Dryer 1,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Dryer 1,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Dryer 1,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),baseline,best,C = 20150*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.75,NA
