unit_type,unit_name,combustion_unit_category,tech_scenario,scenario_rank,capex_formula,efficiency,
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Bone Drier #5,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Dryer #3,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),Dryer #3,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),Dryer #3,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Dryer #3,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Dryer #3,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Dryer #3,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Dryer 1,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),Dryer 1,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),Dryer 1,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Dryer 1,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Dryer 1,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Dryer 1,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 3,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 4,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 5,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
