facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,r,t,elec_price,ng_price,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
1000409,Scenario4,79276851.48271643,428248165.7982265,3699197.889182058,"graphic packaging international, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322130,Paperboard Mills,26077,RFCM,42.3049,-85.5783,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1000466,Baseline,551938.0746383625,0,4068491.519035055,biourja renewables llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17143,SRMW,40.6776,-89.6069,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000466,Scenario1,5738218.845828357,1192357162.769529,4068491.519035055,biourja renewables llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17143,SRMW,40.6776,-89.6069,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000466,Scenario2,96879019.47502422,655537674.6516678,4068491.519035055,biourja renewables llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17143,SRMW,40.6776,-89.6069,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000466,Scenario3,5164396.961245522,1073121446.492576,4068491.519035055,biourja renewables llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17143,SRMW,40.6776,-89.6069,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000466,Scenario4,87191117.5275218,589983907.186501,4068491.519035055,biourja renewables llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17143,SRMW,40.6776,-89.6069,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1001663,Baseline,145785.35096672084,0,822104.731431261,morton salt,MI,"['Natural Gas (Weighted U.S. Average)', 'Bituminous']",311942,Spice and Extract Manufacturing,26101,RFCM,44.24073,-86.31005,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001663,Scenario1,1159500.2327207446,240935113.2926223,822104.731431261,morton salt,MI,"['Natural Gas (Weighted U.S. Average)', 'Bituminous']",311942,Spice and Extract Manufacturing,26101,RFCM,44.24073,-86.31005,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001663,Scenario2,19575977.955025565,148258452.2333102,822104.731431261,morton salt,MI,"['Natural Gas (Weighted U.S. Average)', 'Bituminous']",311942,Spice and Extract Manufacturing,26101,RFCM,44.24073,-86.31005,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001663,Scenario3,1043550.2094486706,216841601.9633601,822104.731431261,morton salt,MI,"['Natural Gas (Weighted U.S. Average)', 'Bituminous']",311942,Spice and Extract Manufacturing,26101,RFCM,44.24073,-86.31005,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001663,Scenario4,17618380.159523007,133432607.00997919,822104.731431261,morton salt,MI,"['Natural Gas (Weighted U.S. Average)', 'Bituminous']",311942,Spice and Extract Manufacturing,26101,RFCM,44.24073,-86.31005,Food & Beverage,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001809,Baseline,208778.73752244492,0,1265555.974368639,marysville ethanol llc,MI,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,26147,RFCM,42.88335,-82.491547,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001809,Scenario1,1784945.87209934,370897843.5531097,1265555.974368639,marysville ethanol llc,MI,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,26147,RFCM,42.88335,-82.491547,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001809,Scenario2,30135449.78869016,203913321.8534787,1265555.974368639,marysville ethanol llc,MI,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,26147,RFCM,42.88335,-82.491547,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001809,Scenario3,1606451.2848894065,333808059.1977987,1265555.974368639,marysville ethanol llc,MI,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,26147,RFCM,42.88335,-82.491547,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001809,Scenario4,27121904.809821144,183521989.66813084,1265555.974368639,marysville ethanol llc,MI,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,26147,RFCM,42.88335,-82.491547,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001892,Baseline,70568.49652527054,0,343894.3330749999,billerud quinnesec llc,MI,"['Natural Gas (Weighted U.S. Average)', 'Propane', nan, 'Bituminous', 'Wood and Wood Residuals (dry basis)']",322120,Paper Mills,26043,RFCW,45.7952,-87.9576,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001892,Scenario1,485030.1232759031,100785480.1612266,343894.3330749999,billerud quinnesec llc,MI,"['Natural Gas (Weighted U.S. Average)', 'Propane', nan, 'Bituminous', 'Wood and Wood Residuals (dry basis)']",322120,Paper Mills,26043,RFCW,45.7952,-87.9576,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
