facility_id,latitude,longitude,census_tract
1009711,27.864068,-82.385139,12057013604
1001675,40.43921,-86.8601,18157001900
1000426,32.8994,-79.9694,45019003400
1006454,46.107527,-122.926617,53015980000
1007069,44.917362,-68.636511,23019007100
1002690,43.18294,-95.50569,19141490100
1007915,34.281587,-84.058034,13117130101
1010687,47.933611,-97.0825,38035011701
1000066,37.07479,-120.877445,06047002100
1000273,37.534,-79.357,51019030300
1006138,42.75991,-88.91711,55105003102
1000610,46.8841,-95.0601,27057070500
1005694,40.27555,-84.19473,39149971900
1000352,34.84999,-102.28679,48117950600
1004874,44.3986,-89.8263,55141011100
1000035,40.081111,-84.591667,39037555102
1010104,31.275,-90.374722,28113950104
1004055,44.614453,-123.936832,41041951300
1010155,32.823278,-89.534944,28079040100
1004206,34.641667,-87.038611,01103005101
1009528,41.597794,-112.172856,49003960400
1010549,37.92627,-87.87223,18129040700
1005758,43.57486,-83.91588,26017281000
1000345,30.068694,-83.52375,12123950302
1000230,35.535,-82.8411,37087920202
1005970,42.560572,-71.849629,25027710300
1007867,35.0442,-88.2652,47071920600
1000196,30.60539,-87.322938,12033003700
1000357,40.2469,-103.7756,08087000600
1005930,33.793857,-79.729856,45089970100
1001945,44.47056,-95.78417,27083360500
1006819,33.32282,-104.47889,35005001101
1004098,40.90232,-74.13179,34003011300
1006558,39.521,-84.40502,39017012200
1005479,39.744833,-86.174306,18097358100
1004901,32.1582,-81.1592,13051010701
1004668,39.004293,-87.631325,17033880500
1003444,36.370833,-93.570556,05015950301
1005658,36.72757,-119.79175,06019000300
1004369,27.37565,-80.39125,12111382124
1000614,46.309388,-119.297683,53005010201
1005753,47.435833,-97.0625,38097970300
1005659,36.34223,-119.39454,06107001008
1000228,35.2081,-77.1242,37049960301
1009512,38.702389,-75.383139,10005050503
1004962,30.596678,-87.251977,12033003614
1003501,34.221569,-91.907406,05069002500
1008006,46.90411,-97.26349,38017040300
1006534,42.33037,-95.34253,19093090200
1006052,35.966944,-95.9285,40143006708
1004022,40.44291,-104.69236,08123000600
1006423,44.909945,-72.976094,50011010102
1001861,40.92564,-73.90465,36119000104
1000015,36.143889,-81.163333,37193961100
1005909,30.2202,-93.7416,48361021100
1002408,43.182248,-95.856177,19141490300
1000262,32.175,-85.0311,01113031200
1004626,40.58629,-74.20061,36085029102
1000609,45.804801,-119.3725,41059951000
1005727,42.3196,-94.2872,19187010300
1005813,34.290701,-83.811488,13139000800
1005353,45.442417,-98.787139,46045962100
1012111,40.92801,-90.64194,17187870400
1004832,36.066559,-119.571981,06031001300
1005706,41.4908,-78.6767,42047950500
1002011,33.416151,-81.896431,45003020901
1005382,39.54794,-86.81612,18133956500
1004902,40.61856,-83.15956,39101010201
1003953,32.74107,-96.44188,48257050213
1000324,34.605,-79.785,45069960202
1009794,30.02,-90.77,22093040400
1011175,37.403741,-79.128076,51680001900
1011710,38.55745,-75.935059999999993,24019970300
1006825,40.18925,-95.36789,29087960100
1001995,46.723918,-92.436733,27017070100
1009709,27.764677,-82.018916,12105016100
1006264,29.71629,-95.08965,48201343601
1001826,43.6025,-84.2404,26111290500
1000613,47.234413,-119.869914,53025010600
1002560,43.11204,-93.23104,19033950201
1010891,46.300368,-120.015979,53077001802
1012019,41.961006,-92.580083,19171290500
1002426,41.933677,-91.71648,19113003005
1006245,40.197778,-86.910833,18107956800
1002291,44.93505,-96.05722,27073180300
1004554,33.819375,-84.647595,13067031409
1004368,29.230631,-95.188487,48039661700
1007603,45.108,-87.607,26109960700
1005369,42.35066,-97.708,31139979200
1002138,42.733339,-93.910902,19197680200
1005579,37.5392,-76.8053,51101950300
1004257,40.283058,-75.341965,42091207101
1005424,35.11738,-80.94104,37119980200
1005686,36.70833,-101.44166,40139950902
1002111,44.5241,-88.0031,55009000900
1010166,35.05518,-93.36892,05149952500
1003884,45.450849,-89.740303,55069960300
1006836,37.49033,-120.88539,06099003700
1002652,41.135266,-89.341088,17123961200
1000434,32.526231,-90.771071,28149950101
1003903,33.813889,-88.556139,28095950800
1003422,42.3586,-89.80342,17177000400
1002809,43.08446,-96.23038,19167070300
1000413,40.555,-89.6628,17179020900
1004263,42.575416,-73.853563,36001014304
1011051,43.06385,-76.20463,36067012900
1001293,40.3883,-91.3953,19111490800
1002505,42.775352,-94.942432,19021960100
1001889,45.156944,-67.404722,23029955400
1004553,41.7887,-85.647,26149041400
1004288,40.965933,-94.79506,19003950200
1004477,43.266053,-82.619552,26151970800
1002871,44.77561,-88.62285,55115100300
1000038,46.13672,-118.91564,53071920000
1004199,39.8717,-76.8664,42133020523
1007226,34.3528,-78.2028,37047930100
1002333,42.657389,-78.076111,36121970800
1005434,38.04297,-97.91929,20155000800
1006787,41.169691,-90.024473,17073031100
1002073,40.61125,-97.60154,31059091600
1003484,30.550948000000002,-91.175252,22033004201
1002585,43.976389,-96.95333,46079960300
1002635,33.85896,-81.70832,45081960400
1004956,35.39892,-119.41218,06029006600
1005849,42.41004,-76.89603,36097950200
1005626,42.4872,-91.1633,19055950100
1005306,43.38391,-94.14706,19109950100
1002526,41.28473,-82.82024,39077916000
1004039,40.28048,-100.163,31065963900
1007030,33.956949,-86.809218,01043965402
1003954,42.06672,-97.3815,31119960600
1006416,30.063707,-94.218396,48245011402
1006520,45.8476,-122.803,41009970700
1004045,44.44737,-88.06851,55009010201
1006141,43.073373,-92.138309,19037070300
1006668,33.2644,-94.069639,48067950101
1005526,43.664021,-94.492559,27091790600
1009838,31.52688,-89.30225,28067951102
1007876,34.047217,-81.151326,45063021106
1004178,34.98305,-78.78722,37051001401
1013363,30.21489,-97.30078,48021950505
1001851,34.7465,-78.8061,37017950302
1002287,46.839167,-119.174722,53001950400
1005476,40.849959,-101.532913,31135959300
1000041,43.06139,-87.89162,55079007700
1003096,41.023749,-98.87511,31019968900
1006573,34.310398,-78.013057,37129011503
1007804,35.061315,-85.323309,47065010901
1005217,43.210491,-78.365416,36073040300
1002576,43.1691,-76.3112,36067011401
1004657,43.67372,-94.50643,27091790600
1002054,43.6,-96.71,46099000100
1002834,44.443738,-71.187308,33007950900
1004702,46.073186,-96.886775,38077971400
1001726,38.20874,-85.7925,21111012802
1006892,32.4167,-86.4667,01001020801
1009702,43.834338,-85.354062,26133970501
1000304,46.3504,-96.641386,38077970800
1007830,43.897083,-95.045278,27033270400
1003593,40.1309,-77.1705,42041012600
1008553,34.864542,-85.787834,01071950302
1006007,43.29083,-93.39027,19195690200
1002988,41.12639,-85.89325,18085962500
1002915,42.82407,-71.485564,33011014102
1001924,42.64085,-95.1884,19021960400
1001157,46.878642,-102.296038,38089963300
1007529,42.732855,-96.252702,19149970600
1014397,32.821,-96.91685,48113020100
1002637,35.03532,-80.082805,37007920400
1007809,39.7481,-92.3851,29121960300
1004332,40.7549,-95.3953,19071970100
1004761,44.9589,-90.9608,55017010900
1004136,35.3306,-77.4772,37107010100
1002258,35.09502,-89.99089,47157007810
1002069,43.10102,-94.65419,19147960300
1004366,33.625378,-83.832288,13217100301
1002674,37.48357,-89.507477,29031880100
1005095,29.6209,-95.086874,48201343700
1001762,44.27033,-88.30358,55087012000
1001913,35.739778,-95.286917,40101001301
1001739,44.8378,-108.4054,56003962800
1011961,30.8325,-83.248056,13185010801
1006367,44.2143,-86.2847,26101000700
1001923,40.761111,-99.736944,31047968400
1002965,29.9761,-94.2183,48245011402
1010759,35.01921,-81.78054,45021970102
1002882,40.18682,-84.86226,18135951400
1005149,44.049412,-93.017379,27039950300
1005655,35.08368,-90.04458,47157005600
1004669,28.168056,-82.141667,12057010108
1000045,38.75087,-93.326088,29159480200
1001748,33.368108,-82.010626,13245010706
1006975,30.646996,-91.265322,22033004603
1000401,35.7433,-84.3208,47105060201
1005386,44.8762,-97.1148,46029954501
1004792,38.271522,-95.237414,20003953600
1006942,40.455978,-104.857553,08123002203
1005935,40.86667,-96.619116,31109000100
1005938,34.04807,-117.53933,06071012700
1005520,40.579722,-96.964722,31151960900
1004227,29.71629,-95.08965,48201343601
1003146,42.512112,-93.264461,19083480200
1004190,35.0313,-89.8822,47157022600
1000415,41.6552,-86.2962,18141002800
1000197,37.748,-99.984806,20057962101
1000590,44.52031,-88.0054,55009000900
1005768,40.999327,-75.146544,42089300501
1001735,37.421613,-120.850431,06047000403
1003150,41.6775,-97.982222,31011960200
1006214,38.358133,-82.593916,54099020400
1005115,36.81342,-87.41009,21047201301
1005712,42.53382,-114.43737,16083000600
1005053,41.423056,-96.485278,31053964400
1007263,45.855921,-119.656083,41049970102
1002662,43.5701,-89.0661,55021970100
1002349,41.642464,-103.07579,31123952500
1008750,39.370495,-81.515306,39167020300
1003451,29.60407,-95.01689,48201341600
1006208,41.8196,-90.2122,19045000200
1005322,42.45709,-93.05623,19083480100
1010825,30.04918,-90.68403,22093040100
1002230,36.1821,-119.33512,06107003100
1007819,34.180594,-101.627387,48189950600
1005170,38.67995,-90.17185,17119400200
1005853,40.41393,-85.01926,18075963100
1011252,35.18367,-90.04412,47157000100
1004230,43.6861,-92.0917,27045960200
1000523,40.67991,-78.23557,42013010102
1005979,40.01463,-75.05434,42101038100
1000615,42.5524,-114.4827,16083001202
1006273,44.45508,-93.16991,27131070602
1001143,45.327,-95.6377,27151960300
1004621,29.759767,-94.907294,48071710202
1004536,40.75117,-81.51088,39151714600
1000589,44.49367,-88.029916,55009000800
1002098,35.097355,-92.73854,05029950600
1007847,39.197222,-93.386389,29195090200
