facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,ng_dum,fuel_oils_dum,coal_dum,byproducts_dum,propane_dum,other_dum,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst,pollutant_type,grid_emissions_kg_kwh,base_emissions,facility_emissions,base_lcoh
1000016,Scenario3,771139.8698611641,160236856.0750471,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.270488702992,40292.5,0,6.852103814922793
1000016,Scenario3,771139.8698611641,160236856.0750471,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,1.27912944e-4,NA,NA,6.852103814922793
1000016,Scenario3,771139.8698611641,160236856.0750471,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,6.8945984e-5,NA,NA,6.852103814922793
1000016,Scenario3,771139.8698611641,160236856.0750471,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,2.3359988e-5,NA,NA,6.852103814922793
1000016,Scenario4,13019244.556097578,121131325.25136134,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.270488702992,40292.5,0,9.303282301005309
1000016,Scenario4,13019244.556097578,121131325.25136134,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,1.27912944e-4,NA,NA,9.303282301005309
1000016,Scenario4,13019244.556097578,121131325.25136134,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,6.8945984e-5,NA,NA,9.303282301005309
1000016,Scenario4,13019244.556097578,121131325.25136134,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,2.3359988e-5,NA,NA,9.303282301005309
1000019,Baseline,326443.2763198805,0,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.472887350088,158402.2,158402.2,5.3594427139725855
1000019,Baseline,326443.2763198805,0,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,2.3858939200000002e-4,445.113,445.113,5.3594427139725855
1000019,Baseline,326443.2763198805,0,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,1.4923176800000002e-4,150.133,150.133,5.3594427139725855
1000019,Baseline,326443.2763198805,0,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,1.0976926399999999e-5,129.701425,129.701425,5.3594427139725855
1000019,Scenario1,3053542.5969492826,634502357.8076432,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.472887350088,158402.2,6443,5.512584485716682
1000019,Scenario1,3053542.5969492826,634502357.8076432,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,2.3858939200000002e-4,445.113,18.10494462198124,5.512584485716682
1000019,Scenario1,3053542.5969492826,634502357.8076432,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,1.4923176800000002e-4,150.133,6.10665078515323,5.512584485716682
1000019,Scenario1,3053542.5969492826,634502357.8076432,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,1.0976926399999999e-5,129.701425,5.275597695454981,5.512584485716682
