facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,ng_dum,biomass_dum,propane_dum,bituminous_dum,anthracite_dum,coalcoake_dum,distillate_dum,tires_dum,wood_dum,naics_code,county_fips,subregion,latitude,longitude,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
1000035,Scenario3,3786490.538797862,786803228.8411142,2982982.284206558,the andersons marathon holdings llc,OH,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,325193,39037,RFCW,40.081111,-84.591667,0.0716,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000035,Scenario4,63927762.34334052,432571024.14255655,2982982.284206558,the andersons marathon holdings llc,OH,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,325193,39037,RFCW,40.081111,-84.591667,0.0716,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Baseline,92237.88304389143,0,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",1,1,0,0,0,0,0,0,0,311611,17161,RFCW,41.5514,-90.2256,0.0916,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Scenario1,669062.3075825195,139025934.043121,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",1,1,0,0,0,0,0,0,0,311611,17161,RFCW,41.5514,-90.2256,0.0916,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Scenario2,11295857.141003583,83100838.10284482,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",1,1,0,0,0,0,0,0,0,311611,17161,RFCW,41.5514,-90.2256,0.0916,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Scenario3,602156.0768242679,125123340.6388089,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",1,1,0,0,0,0,0,0,0,311611,17161,RFCW,41.5514,-90.2256,0.0916,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Scenario4,10166271.426903222,74790754.29256034,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",1,1,0,0,0,0,0,0,0,311611,17161,RFCW,41.5514,-90.2256,0.0916,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000038,Baseline,79017.50803719461,0,393929.9224914925,tyson fresh meats,WA,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,0,0,0,0,0,1,0,0,311611,53071,NWPP,46.13672,-118.91564,0.0637,12.3,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000038,Scenario1,555600.5449686941,115449463.8895988,393929.9224914925,tyson fresh meats,WA,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,0,0,0,0,0,1,0,0,311611,53071,NWPP,46.13672,-118.91564,0.0637,12.3,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000038,Scenario2,9380268.941029903,69008327.64607838,393929.9224914925,tyson fresh meats,WA,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,0,0,0,0,0,1,0,0,311611,53071,NWPP,46.13672,-118.91564,0.0637,12.3,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
