facility_id,tech_scenario,change_in_electricity_demand_kwh,nei_id,facility_name,state,fuels,ng_dum,fuel_oils_dum,coal_dum,byproducts_dum,propane_dum,other_dum,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,pollutant_type,grid_emissions_kg_kwh,base_emissions,facility_emissions
1000016,Scenario4,121131325.25136134,8296911,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,so2,6.8945984e-5,NA,NA
1000016,Scenario4,121131325.25136134,8296911,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,pm25,2.3359988e-5,NA,NA
1000019,Baseline,0,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,co2e,0.472887350088,158402.2,158402.2
1000019,Baseline,0,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,nox,2.3858939200000002e-4,445.113,445.113
1000019,Baseline,0,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,so2,1.4923176800000002e-4,150.133,150.133
1000019,Baseline,0,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,pm25,1.0976926399999999e-5,129.701425,129.701425
1000019,Scenario1,634502357.8076432,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,co2e,0.472887350088,158402.2,6443
1000019,Scenario1,634502357.8076432,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,nox,2.3858939200000002e-4,445.113,18.10494462198124
1000019,Scenario1,634502357.8076432,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,so2,1.4923176800000002e-4,150.133,6.10665078515323
1000019,Scenario1,634502357.8076432,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,pm25,1.0976926399999999e-5,129.701425,5.275597695454981
1000019,Scenario2,417803474.9306443,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,co2e,0.472887350088,158402.2,6443
1000019,Scenario2,417803474.9306443,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,nox,2.3858939200000002e-4,445.113,18.10494462198124
1000019,Scenario2,417803474.9306443,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,so2,1.4923176800000002e-4,150.133,6.10665078515323
1000019,Scenario2,417803474.9306443,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,pm25,1.0976926399999999e-5,129.701425,5.275597695454981
1000019,Scenario3,571052122.0268788,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,co2e,0.472887350088,158402.2,6443
1000019,Scenario3,571052122.0268788,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,nox,2.3858939200000002e-4,445.113,18.10494462198124
1000019,Scenario3,571052122.0268788,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,so2,1.4923176800000002e-4,150.133,6.10665078515323
1000019,Scenario3,571052122.0268788,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,pm25,1.0976926399999999e-5,129.701425,5.275597695454981
1000019,Scenario4,376023127.43757975,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,co2e,0.472887350088,158402.2,6443
1000019,Scenario4,376023127.43757975,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,nox,2.3858939200000002e-4,445.113,18.10494462198124
1000019,Scenario4,376023127.43757975,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,so2,1.4923176800000002e-4,150.133,6.10665078515323
1000019,Scenario4,376023127.43757975,7767911,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,pm25,1.0976926399999999e-5,129.701425,5.275597695454981
1000034,Baseline,0,3163611,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,co2e,0.420276574784,108458.10000000002,108458.10000000002
1000034,Baseline,0,3163611,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,nox,3.22503912e-4,229.9182759,229.9182759
1000034,Baseline,0,3163611,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,so2,4.0641843200000003e-4,130.71827593,130.71827593
1000034,Baseline,0,3163611,ADM SOYBEAN PROCESSING - DES MOINES,IA,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,1,0,0,0,0,311224,Soybean and Other Oilseed Processing,19153,MROW,41.626329,-93.583205,Food & Beverage,pm25,2.9800994399999998e-5,25.45954679,25.45954679
