facility_id,tech_scenario,change_in_electricity_demand_kwh,elec_ghg_emissions,noelec_ghg_emissions,baseline_co2e_emissions,facility_name,state,fuels,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,pollutant_type,grid_emissions_kg_kwh
1000248,Baseline,0,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,so2,2.55825888e-4
1000248,Baseline,0,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,pm25,2.9029888000000002e-5
1000248,Scenario1,492029319.8174294,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,co2e,0.44269581297599997
1000248,Scenario1,492029319.8174294,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,nox,2.3541424800000002e-4
1000248,Scenario1,492029319.8174294,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,so2,2.55825888e-4
1000248,Scenario1,492029319.8174294,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,pm25,2.9029888000000002e-5
1000248,Scenario2,215955102.85063446,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,co2e,0.44269581297599997
1000248,Scenario2,215955102.85063446,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,nox,2.3541424800000002e-4
1000248,Scenario2,215955102.85063446,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,so2,2.55825888e-4
1000248,Scenario2,215955102.85063446,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,pm25,2.9029888000000002e-5
1000248,Scenario3,442826387.8356864,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,co2e,0.44269581297599997
1000248,Scenario3,442826387.8356864,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,nox,2.3541424800000002e-4
1000248,Scenario3,442826387.8356864,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,so2,2.55825888e-4
1000248,Scenario3,442826387.8356864,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,pm25,2.9029888000000002e-5
1000248,Scenario4,194359592.56557107,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,co2e,0.44269581297599997
1000248,Scenario4,194359592.56557107,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,nox,2.3541424800000002e-4
1000248,Scenario4,194359592.56557107,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,so2,2.55825888e-4
1000248,Scenario4,194359592.56557107,111351.3,0,111351.3,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,pm25,2.9029888000000002e-5
