x,scenario_rank,lcoh_mi,lcoh_il
0,Best,1.2519962922444372,1.251996292244437
0.07537688442211055,Best,1.3653353105895665,1.3690928572672683
0.1507537688442211,Best,1.478674328934696,1.4861894222900998
0.22613065326633164,Best,1.5920133472798255,1.6032859873129313
0.3015075376884422,Best,1.7053523656249547,1.7203825523357625
0.37688442211055273,Best,1.818691383970084,1.8374791173585938
0.4522613065326633,Best,1.9320304023152133,1.954575682381425
0.5276381909547738,Best,2.0453694206603426,2.071672247404256
0.6030150753768844,Best,2.1587084390054723,2.1887688124270874
0.6783919597989949,Best,2.2720474573506015,2.305865377449919
0.7537688442211055,Best,2.385386475695731,2.4229619424727504
0.8291457286432161,Best,2.49872549404086,2.5400585074955817
0.9045226130653266,Best,2.612064512385989,2.657155072518413
0.9798994974874371,Best,2.725403530731118,2.7742516375412443
1.0552763819095476,Best,2.8387425490762475,2.8913482025640755
1.1306532663316584,Best,2.952081567421377,3.0084447675869073
1.2060301507537687,Best,3.0654205857665064,3.1255413326097385
1.2814070351758793,Best,3.1787596041116353,3.24263789763257
1.3567839195979898,Best,3.292098622456765,3.359734462655401
1.4321608040201006,Best,3.4054376408018947,3.476831027678233
1.507537688442211,Best,3.518776659147024,3.5939275927010637
1.5829145728643215,Best,3.6321156774921532,3.711024157723895
1.6582914572864322,Best,3.7454546958372834,3.828120722746726
1.7336683417085428,Best,3.858793714182412,3.9452172877695575
1.809045226130653,Best,3.972132732527542,4.062313852792388
1.8844221105527637,Best,4.08547175087267,4.17941041781522
1.9597989949748742,Best,4.1988107692178005,4.296506982838051
2.0351758793969847,Best,4.312149787562928,4.413603547860883
2.1105527638190953,Best,4.425488805908059,4.530700112883713
2.185929648241206,Best,4.538827824253187,4.647796677906545
2.261306532663317,Best,4.652166842598318,4.764893242929377
2.336683417085427,Best,4.765505860943446,4.881989807952208
2.4120603015075375,Best,4.878844879288576,4.999086372975039
2.487437185929648,Best,4.992183897633705,5.11618293799787
2.5628140703517586,Best,5.105522915978835,5.233279503020702
2.638190954773869,Best,5.2188619343239635,5.350376068043533
2.7135678391959797,Best,5.332200952669093,5.4674726330663646
2.78894472361809,Best,5.445539971014222,5.584569198089196
2.864321608040201,Best,5.558878989359353,5.701665763112028
2.9396984924623117,Best,5.672218007704481,5.818762328134858
3.015075376884422,Best,5.785557026049611,5.93585889315769
3.0904522613065324,Best,5.898896044394739,6.052955458180521
3.165829145728643,Best,6.012235062739868,6.170052023203353
3.2412060301507535,Best,6.125574081084998,6.287148588226184
3.3165829145728645,Best,6.238913099430127,6.4042451532490166
3.391959798994975,Best,6.352252117775258,6.521341718271848
3.4673366834170856,Best,6.465591136120386,6.638438283294679
3.542713567839196,Best,6.5789301544655165,6.75553484831751
3.618090452261306,Best,6.6922691728106445,6.872631413340342
3.6934673366834168,Best,6.805608191155773,6.989727978363173
3.7688442211055273,Best,6.918947209500903,7.106824543386004
3.844221105527638,Best,7.032286227846032,7.2239211084088355
3.9195979899497484,Best,7.145625246191162,7.341017673431666
3.9949748743718594,Best,7.258964264536292,7.458114238454498
4.0703517587939695,Best,7.37230328288142,7.57521080347733
4.1457286432160805,Best,7.485642301226551,7.692307368500162
4.221105527638191,Best,7.59898131957168,7.809403933522993
4.296482412060302,Best,7.712320337916809,7.926500498545823
4.371859296482412,Best,7.825659356261939,8.043597063568654
4.447236180904522,Best,7.938998374607068,8.160693628591487
4.522613065326634,Best,8.052337392952198,8.277790193614319
4.597989949748744,Best,8.165676411297326,8.39488675863715
4.673366834170854,Best,8.279015429642456,8.51198332365998
4.748743718592965,Best,8.392354447987584,8.629079888682812
4.824120603015075,Best,8.505693466332714,8.746176453705642
4.899497487437186,Best,8.619032484677843,8.863273018728474
4.974874371859296,Best,8.732371503022973,8.980369583751305
5.050251256281406,Best,8.845710521368101,9.097466148774137
5.125628140703517,Best,8.95904953971323,9.214562713796967
5.201005025125628,Best,9.072388558058362,9.3316592788198
5.276381909547738,Best,9.18572757640349,9.448755843842632
5.351758793969849,Best,9.29906659474862,9.565852408865462
5.427135678391959,Best,9.412405613093748,9.682948973888292
5.50251256281407,Best,9.52574463143888,9.800045538911125
5.57788944723618,Best,9.639083649784007,9.917142103933955
5.6532663316582905,Best,9.752422668129137,10.034238668956787
5.728643216080402,Best,9.865761686474267,10.15133523397962
5.8040201005025125,Best,9.979100704819396,10.268431799002451
5.8793969849246235,Best,10.092439723164526,10.385528364025282
5.954773869346734,Best,10.205778741509654,10.502624929048112
6.030150753768844,Best,10.319117759854784,10.619721494070944
6.105527638190955,Best,10.432456778199914,10.736818059093775
6.180904522613065,Best,10.545795796545043,10.853914624116605
6.256281407035176,Best,10.659134814890173,10.971011189139439
6.331658291457286,Best,10.7724738332353,11.088107754162268
6.407035175879397,Best,10.88581285158043,11.205204319185102
6.482412060301507,Best,10.999151869925559,11.32230088420793
6.557788944723618,Best,11.11249088827069,11.439397449230762
6.633165829145729,Best,11.22582990661582,11.556494014253595
6.708542713567839,Best,11.339168924960948,11.673590579276425
6.78391959798995,Best,11.45250794330608,11.790687144299255
6.85929648241206,Best,11.565846961651205,11.907783709322088
6.934673366834171,Best,11.679185979996339,12.024880274344918
7.01005025125628,Best,11.792524998341465,12.141976839367748
7.085427135678392,Best,11.905864016686596,12.259073404390582
7.160804020100501,Best,12.019203035031722,12.37616996941341
7.236180904522612,Best,12.132542053376856,12.493266534436245
7.311557788944724,Best,12.245881071721985,12.610363099459075
7.3869346733668335,Best,12.359220090067113,12.727459664481906
7.4623115577889445,Best,12.472559108412243,12.844556229504736
