"","state","policy_label","tech_clean","naics_description","mean_lcoh_delta","total_emissions","elec_to_ng_ratio_low","elec_to_ng_ratio_high"
"37","IL","Capex: -100%, Elec: -0%","Scenario2","Wet Corn Milling and Starch Manufacturing",6.62552723200016,1805726.77419685,2.94622214222868,4.60646927226498
"38","IL","Capex: -50%, Elec: -0%","Scenario2","Wet Corn Milling and Starch Manufacturing",7.53725919506059,1805726.77419685,2.94622214222868,4.60646927226498
"39","IL","Capex: -50%, Elec: -50%","Scenario2","Wet Corn Milling and Starch Manufacturing",0.339595300938839,1805726.77419685,2.94622214222868,4.60646927226498
"40","IL","No Policy","Scenario2","Wet Corn Milling and Starch Manufacturing",8.44899115812102,1805726.77419685,2.94622214222868,4.60646927226498
"41","IL","Capex: -0%, Elec: -50%","Scenario2","Ethyl Alcohol Manufacturing",0.611087936670963,1757896.94843244,2.94622214222868,4.60646927226498
"42","IL","Capex: -100%, Elec: -0%","Scenario2","Ethyl Alcohol Manufacturing",5.36889937290904,1757896.94843244,2.94622214222868,4.60646927226498
"43","IL","Capex: -50%, Elec: -0%","Scenario2","Ethyl Alcohol Manufacturing",6.28063133596947,1757896.94843244,2.94622214222868,4.60646927226498
"44","IL","Capex: -50%, Elec: -50%","Scenario2","Ethyl Alcohol Manufacturing",-0.30064402638947,1757896.94843244,2.94622214222868,4.60646927226498
"45","IL","No Policy","Scenario2","Ethyl Alcohol Manufacturing",7.1923632990299,1757896.94843244,2.94622214222868,4.60646927226498
"46","MN","Capex: -0%, Elec: -50%","Scenario4","Ethyl Alcohol Manufacturing",1.11497786043882,1691118.2987539,4.245701207139,5.09644912743735
"47","MN","Capex: -100%, Elec: -0%","Scenario4","Ethyl Alcohol Manufacturing",6.37587071998919,1691118.2987539,4.245701207139,5.09644912743735
"48","MN","Capex: -50%, Elec: -0%","Scenario4","Ethyl Alcohol Manufacturing",7.19642948674358,1691118.2987539,4.245701207139,5.09644912743735
"49","MN","Capex: -50%, Elec: -50%","Scenario4","Ethyl Alcohol Manufacturing",0.294419093684431,1691118.2987539,4.245701207139,5.09644912743735
"50","MN","No Policy","Scenario4","Ethyl Alcohol Manufacturing",8.01698825349797,1691118.2987539,4.245701207139,5.09644912743735
"51","IL","Capex: -0%, Elec: -50%","Scenario4","Wet Corn Milling and Starch Manufacturing",0.303420284880001,1627258.08677717,2.94622214222868,4.60646927226498
"52","IL","Capex: -100%, Elec: -0%","Scenario4","Wet Corn Milling and Starch Manufacturing",5.1402002560808,1627258.08677717,2.94622214222868,4.60646927226498
"53","IL","Capex: -50%, Elec: -0%","Scenario4","Wet Corn Milling and Starch Manufacturing",5.96075902283519,1627258.08677717,2.94622214222868,4.60646927226498
"54","IL","Capex: -50%, Elec: -50%","Scenario4","Wet Corn Milling and Starch Manufacturing",-0.517138481874389,1627258.08677717,2.94622214222868,4.60646927226498
"55","IL","No Policy","Scenario4","Wet Corn Milling and Starch Manufacturing",6.78131778958957,1627258.08677717,2.94622214222868,4.60646927226498
"56","IL","Capex: -0%, Elec: -50%","Scenario4","Ethyl Alcohol Manufacturing",-0.275178547862899,1582144.05358919,2.94622214222868,4.60646927226498
"57","IL","Capex: -100%, Elec: -0%","Scenario4","Ethyl Alcohol Manufacturing",4.00685174475137,1582144.05358919,2.94622214222868,4.60646927226498
