"","facility_id","tech_scenario","clean_grid_co2e_emissions_mt","onsite_facility_co2e_emissions_mt","baseline_emissions","is_biogenic","diff_scen_baseline","diff_label"
"52",1000045,"hp_boiler_ee",0,52376.8,52376.8,FALSE,0,"negligible"
"53",1000063,"eb_boiler",236507.158930268,0,121110.8,FALSE,115396.358930268,"115,396.36"
"54",1000063,"eb_boiler_ee",170063.018574986,0,121110.8,FALSE,48952.2185749864,"48,952.22"
"55",1000063,"hp_boiler",129798.339070921,0,121110.8,FALSE,8687.53907092071,"8,687.54"
"56",1000063,"hp_boiler_ee",99580.7838493797,0,121110.8,FALSE,-21530.0161506203,"-21,530.02"
"57",1000066,"eb_boiler",31.7183765202158,96737.1,96772.1,FALSE,-3.28162347979378,"-3.28"
"58",1000066,"eb_boiler_ee",28.7587962554586,96737.1,96772.1,FALSE,-6.24120374456106,"-6.24"
"59",1000066,"hp_boiler",18.9015260053047,96737.1,96772.1,FALSE,-16.0984739947162,"-16.10"
"60",1000066,"hp_boiler_ee",17.4912191954184,96737.1,96772.1,FALSE,-17.5087808045937,"-17.51"
"61",1000089,"eb_boiler",127971.195780852,58322.5661021244,159664.9,FALSE,26628.8618829769,"26,628.86"
"62",1000089,"eb_boiler_ee",109611.185459406,58322.5661021244,159664.9,FALSE,8268.85156153067,"8,268.85"
"63",1000089,"hp_boiler",108122.28705729,58322.5661021244,159664.9,FALSE,6779.95315941478,"6,779.95"
"64",1000089,"hp_boiler_ee",94519.4814868331,58322.5661021244,159664.9,FALSE,-6822.85241104246,"-6,822.85"
"65",1000093,"eb_boiler",30566.2551871252,0,59737.2,FALSE,-29170.9448128748,"-29,170.94"
"66",1000093,"eb_boiler_ee",26180.9186487012,0,59737.2,FALSE,-33556.2813512988,"-33,556.28"
"67",1000093,"hp_boiler",16015.5621834257,0,59737.2,FALSE,-43721.6378165743,"-43,721.64"
"68",1000093,"hp_boiler_ee",14000.6530984257,0,59737.2,FALSE,-45736.5469015743,"-45,736.55"
"69",1000166,"eb_boiler",169964.94125743,347005.58,889195.11,TRUE,-372224.58874257,"-372,224.59"
"70",1000166,"eb_boiler_ee",109704.666811555,347005.58,889195.11,TRUE,-432484.863188445,"-432,484.86"
"71",1000166,"hp_boiler",123171.424900253,347005.58,889195.11,TRUE,-419018.105099747,"-419,018.11"
"72",1000166,"hp_boiler_ee",84231.313073415,347005.58,889195.11,TRUE,-457958.216926585,"-457,958.22"
"73",1000183,"eb_boiler",535307.946980205,281718.5775,851761.525,TRUE,-34735.0005197952,"-34,735.00"
"74",1000183,"eb_boiler_ee",345517.019748764,281718.5775,851761.525,TRUE,-224525.927751236,"-224,525.93"
"75",1000183,"hp_boiler",362180.746482175,281718.5775,851761.525,TRUE,-207862.201017825,"-207,862.20"
"76",1000183,"hp_boiler_ee",250160.349753436,281718.5775,851761.525,TRUE,-319882.597746564,"-319,882.60"
"77",1000196,"eb_boiler",271940.376025503,366148.2625,884809.965,TRUE,-246721.326474497,"-246,721.33"
"78",1000196,"eb_boiler_ee",126846.836858487,366148.2625,884809.965,TRUE,-391814.865641513,"-391,814.87"
"79",1000196,"hp_boiler",137505.034315976,366148.2625,884809.965,TRUE,-381156.668184024,"-381,156.67"
"80",1000196,"hp_boiler_ee",59970.802255765,366148.2625,884809.965,TRUE,-458690.900244235,"-458,690.90"
"81",1000197,"eb_boiler",124752.616017312,0,68213.2,FALSE,56539.4160173124,"56,539.42"
"82",1000197,"eb_boiler_ee",113112.191101291,0,68213.2,FALSE,44898.9911012909,"44,898.99"
"83",1000197,"hp_boiler",73936.1150935874,0,68213.2,FALSE,5722.91509358739,"5,722.92"
"84",1000197,"hp_boiler_ee",68419.491378457,0,68213.2,FALSE,206.291378456968,"206.29"
"85",1000228,"eb_boiler",86859.8179219379,337904.9425,744921.615,TRUE,-320156.854578062,"-320,156.85"
"86",1000228,"eb_boiler_ee",56064.0760026268,337904.9425,744921.615,TRUE,-350952.596497373,"-350,952.60"
"87",1000228,"hp_boiler",62946.2020865668,337904.9425,744921.615,TRUE,-344070.470413433,"-344,070.47"
"88",1000228,"hp_boiler_ee",43046.0332745988,337904.9425,744921.615,TRUE,-363970.639225401,"-363,970.64"
"89",1000229,"eb_boiler",19555.693077534,434645.0425,884855.85,TRUE,-430655.114422466,"-430,655.11"
"90",1000229,"eb_boiler_ee",12622.3136222578,434645.0425,884855.85,TRUE,-437588.493877742,"-437,588.49"
"91",1000229,"hp_boiler",13396.084477488,434645.0425,884855.85,TRUE,-436814.723022512,"-436,814.72"
"92",1000229,"hp_boiler_ee",9235.72060507299,434645.0425,884855.85,TRUE,-440975.086894927,"-440,975.09"
"93",1000230,"eb_boiler",277111.813126766,326384.04,963024.05,TRUE,-359528.196873234,"-359,528.20"
"94",1000230,"eb_boiler_ee",178863.116732839,326384.04,963024.05,TRUE,-457776.893267161,"-457,776.89"
"95",1000230,"hp_boiler",200819.396206065,326384.04,963024.05,TRUE,-435820.613793934,"-435,820.61"
"96",1000230,"hp_boiler_ee",137331.214985502,326384.04,963024.05,TRUE,-499308.795014498,"-499,308.80"
"97",1000232,"eb_boiler",662204.604094079,0,443597.7,FALSE,218606.904094079,"218,606.90"
"98",1000232,"eb_boiler_ee",567198.198223676,0,443597.7,FALSE,123600.498223676,"123,600.50"
"99",1000232,"hp_boiler",314588.406539159,0,443597.7,FALSE,-129009.293460841,"-129,009.29"
"100",1000232,"hp_boiler_ee",275010.211836298,0,443597.7,FALSE,-168587.488163702,"-168,587.49"
"101",1000240,"eb_boiler",100305.060872843,0,56254.5,FALSE,44050.5608728429,"44,050.56"
"102",1000240,"eb_boiler_ee",46787.3872889874,0,56254.5,FALSE,-9467.1127110126,"-9,467.11"
"103",1000240,"hp_boiler",49188.5598473656,0,56254.5,FALSE,-7065.94015263437,"-7,065.94"
