"","primary_naics","facility_id","reporting_year","facility_name","state","naics_title","sector","subregion","county_fips","tech_scenario","scenario_rank","non_elec_unit_ghg_emissions","non_elec_process_unit_heat_demand","non_elec_orig_process_unit_heat_demand","non_elec_orig_unit_ghg_emissions","non_elec_change_in_electricity_demand_kwh","elec_unit_ghg_emissions","elec_process_unit_heat_demand","elec_orig_process_unit_heat_demand","elec_orig_unit_ghg_emissions","elec_change_in_electricity_demand_kwh","change_in_electricity_demand_kwh","base_emissions","base_emissions_ee"
"20",311230,1002215,2023,"KELLOGG LANCASTER CEREAL PLT","PA","Breakfast Cereal Manufacturing","Food & Beverage","RFCE",42071,"eb_boiler_ee","worst",26076.1,392849.905993122,392849.905993122,26076.1,0,26076.1,392849.905993122,392849.905993122,26076.1,0,0,52152.2,52152.2
"21",311230,1002215,2023,"KELLOGG LANCASTER CEREAL PLT","PA","Breakfast Cereal Manufacturing","Food & Beverage","RFCE",42071,"hp_boiler","best",26076.1,392849.905993122,392849.905993122,26076.1,0,0,0,0,0,0,0,26076.1,26076.1
"22",311230,1002215,2023,"KELLOGG LANCASTER CEREAL PLT","PA","Breakfast Cereal Manufacturing","Food & Beverage","RFCE",42071,"hp_boiler","worst",26076.1,392849.905993122,392849.905993122,26076.1,0,0,0,0,0,0,0,26076.1,26076.1
"23",311230,1002215,2023,"KELLOGG LANCASTER CEREAL PLT","PA","Breakfast Cereal Manufacturing","Food & Beverage","RFCE",42071,"hp_boiler_ee","best",26076.1,392849.905993122,392849.905993122,26076.1,0,26076.1,392849.905993122,392849.905993122,26076.1,0,0,52152.2,52152.2
"24",311230,1002215,2023,"KELLOGG LANCASTER CEREAL PLT","PA","Breakfast Cereal Manufacturing","Food & Beverage","RFCE",42071,"hp_boiler_ee","worst",26076.1,392849.905993122,392849.905993122,26076.1,0,26076.1,392849.905993122,392849.905993122,26076.1,0,0,52152.2,52152.2
"25",311230,1002258,2023,"KELLOGG USA,INC.","TN","Breakfast Cereal Manufacturing","Food & Beverage","SRTV",47157,"eb_boiler","best",24800.2,373535.663519378,373535.663519378,24800.2,0,0,0,0,0,0,0,24800.2,24800.2
"26",311230,1002258,2023,"KELLOGG USA,INC.","TN","Breakfast Cereal Manufacturing","Food & Beverage","SRTV",47157,"eb_boiler","worst",24800.2,373535.663519378,373535.663519378,24800.2,0,0,0,0,0,0,0,24800.2,24800.2
"27",311230,1002258,2023,"KELLOGG USA,INC.","TN","Breakfast Cereal Manufacturing","Food & Beverage","SRTV",47157,"eb_boiler_ee","best",24800.2,373535.663519378,373535.663519378,24800.2,0,24800.2,373535.663519378,373535.663519378,24800.2,0,0,49600.4,49600.4
"28",311230,1002258,2023,"KELLOGG USA,INC.","TN","Breakfast Cereal Manufacturing","Food & Beverage","SRTV",47157,"eb_boiler_ee","worst",24800.2,373535.663519378,373535.663519378,24800.2,0,24800.2,373535.663519378,373535.663519378,24800.2,0,0,49600.4,49600.4
"29",311230,1002258,2023,"KELLOGG USA,INC.","TN","Breakfast Cereal Manufacturing","Food & Beverage","SRTV",47157,"hp_boiler","best",24800.2,373535.663519378,373535.663519378,24800.2,0,0,0,0,0,0,0,24800.2,24800.2
"30",311230,1002258,2023,"KELLOGG USA,INC.","TN","Breakfast Cereal Manufacturing","Food & Beverage","SRTV",47157,"hp_boiler","worst",24800.2,373535.663519378,373535.663519378,24800.2,0,0,0,0,0,0,0,24800.2,24800.2
"31",311230,1002258,2023,"KELLOGG USA,INC.","TN","Breakfast Cereal Manufacturing","Food & Beverage","SRTV",47157,"hp_boiler_ee","best",24800.2,373535.663519378,373535.663519378,24800.2,0,24800.2,373535.663519378,373535.663519378,24800.2,0,0,49600.4,49600.4
"32",311230,1002258,2023,"KELLOGG USA,INC.","TN","Breakfast Cereal Manufacturing","Food & Beverage","SRTV",47157,"hp_boiler_ee","worst",24800.2,373535.663519378,373535.663519378,24800.2,0,24800.2,373535.663519378,373535.663519378,24800.2,0,0,49600.4,49600.4
