facility_id,nei_id,match_type,match_score
1002187,1060511,FRS Link,NA
1002188,7738611,FRS Link,NA
1002190,16871811,FRS Link,NA
1002203,7997111,FRS Link,NA
1002212,10678011,FRS Link,NA
1002230,1463011,FRS Link,NA
1002246,8121511,FRS Link,NA
1002246,12807611,FRS Link,NA
1002246,12807711,FRS Link,NA
1002246,12807511,FRS Link,NA
1002275,8185111,FRS Link,NA
1002285,2626911,FRS Link,NA
1002291,6202311,FRS Link,NA
1002301,7914611,FRS Link,NA
1002301,7381111,FRS Link,NA
1002309,8462911,FRS Link,NA
1002333,7814711,FRS Link,NA
1002339,6467811,FRS Link,NA
1002342,4958111,FRS Link,NA
1002346,1974811,FRS Link,NA
1002365,7789811,FRS Link,NA
1002379,9642211,FRS Link,NA
1002394,459211,FRS Link,NA
1002407,7433611,FRS Link,NA
1002430,7908111,FRS Link,NA
1002433,8201411,FRS Link,NA
1002438,12791211,FRS Link,NA
1002443,9653811,FRS Link,NA
1002505,15414611,FRS Link,NA
1002526,8289911,FRS Link,NA
1002529,7869311,FRS Link,NA
1002542,7416011,FRS Link,NA
1002548,8194311,FRS Link,NA
1002560,9656511,FRS Link,NA
1002576,7436211,FRS Link,NA
1002585,4962911,FRS Link,NA
1002606,8125311,FRS Link,NA
1002613,4777211,FRS Link,NA
1002614,2622311,FRS Link,NA
1002615,884511,FRS Link,NA
1002618,7904811,FRS Link,NA
1002618,7992711,FRS Link,NA
1002627,15416011,FRS Link,NA
1002632,7891211,FRS Link,NA
1002635,3119011,FRS Link,NA
1002637,7811111,FRS Link,NA
1002652,4621011,FRS Link,NA
1002674,8230611,FRS Link,NA
1002690,15415111,FRS Link,NA
1002698,6116311,FRS Link,NA
1002708,1134111,FRS Link,NA
1002709,4963911,FRS Link,NA
1002710,17644111,FRS Link,NA
1002713,6682311,FRS Link,NA
1002713,5694411,FRS Link,NA
1002715,7764011,FRS Link,NA
1002733,3721011,FRS Link,NA
1002736,7914911,FRS Link,NA
1002749,7432211,FRS Link,NA
1002758,4182311,FRS Link,NA
1002790,7741911,FRS Link,NA
1002832,17057611,FRS Link,NA
1002834,7866711,FRS Link,NA
1002859,4925111,FRS Link,NA
1002861,3097211,FRS Link,NA
1002865,8066311,FRS Link,NA
1002867,4083711,FRS Link,NA
1002871,7689611,FRS Link,NA
1002874,14384311,FRS Link,NA
1002874,2199011,FRS Link,NA
1002874,2198911,FRS Link,NA
1002879,8364911,FRS Link,NA
1002879,8364811,FRS Link,NA
1002879,8008211,FRS Link,NA
1002881,16942111,FRS Link,NA
1002882,15757711,FRS Link,NA
1002883,7837511,FRS Link,NA
1002904,8007211,FRS Link,NA
1002909,15647611,FRS Link,NA
1002915,7757611,FRS Link,NA
1002925,7200811,FRS Link,NA
1002927,5509711,FRS Link,NA
1002955,13571611,FRS Link,NA
1002955,8102411,FRS Link,NA
1002960,6801511,FRS Link,NA
1002962,16429011,FRS Link,NA
1002963,7211811,FRS Link,NA
1002975,5464011,FRS Link,NA
1002975,10716811,FRS Link,NA
1002975,8140211,FRS Link,NA
1002988,15006311,FRS Link,NA
1002991,4055511,FRS Link,NA
1002993,4945611,FRS Link,NA
1002995,9656311,FRS Link,NA
1003003,8215111,FRS Link,NA
1003003,16972411,FRS Link,NA
1003013,9607311,FRS Link,NA
1003048,8200111,FRS Link,NA
1003081,7274711,FRS Link,NA
1003096,16434111,FRS Link,NA
1003134,6535011,FRS Link,NA
1003135,13652611,FRS Link,NA
1003146,5384011,FRS Link,NA
1003150,15085111,FRS Link,NA
1003157,946711,FRS Link,NA
1003160,6616311,FRS Link,NA
1003160,6616211,FRS Link,NA
1003176,4178711,FRS Link,NA
1003186,6421511,FRS Link,NA
1003215,8165111,FRS Link,NA
1003224,4926211,FRS Link,NA
1003255,8465711,FRS Link,NA
1003261,11259911,FRS Link,NA
1003280,555311,FRS Link,NA
1003304,7996511,FRS Link,NA
1003304,13471611,FRS Link,NA
1003304,13572511,FRS Link,NA
1003320,8126511,FRS Link,NA
1003327,4193811,FRS Link,NA
1003352,4364111,FRS Link,NA
1003370,4827011,FRS Link,NA
1003377,16668611,FRS Link,NA
1003382,4190211,FRS Link,NA
1003385,17133711,FRS Link,NA
1003402,6536811,FRS Link,NA
1003429,10722911,FRS Link,NA
1003429,3930711,FRS Link,NA
1003444,902611,FRS Link,NA
1003448,5040611,FRS Link,NA
1003470,7414811,FRS Link,NA
1003476,6997911,FRS Link,NA
1003489,6083511,FRS Link,NA
1003495,8073211,FRS Link,NA
1003498,15415911,FRS Link,NA
1003501,976711,FRS Link,NA
1003533,5655811,FRS Link,NA
1003551,7440611,FRS Link,NA
1003568,896111,FRS Link,NA
1003573,9649711,FRS Link,NA
1003593,6463911,FRS Link,NA
1003607,7648511,FRS Link,NA
1003633,992511,FRS Link,NA
1003636,13865911,FRS Link,NA
1003637,19001611,FRS Link,NA
1003712,7425811,FRS Link,NA
1003714,16669811,FRS Link,NA
1003724,7680711,FRS Link,NA
1003737,12800311,FRS Link,NA
1003749,5606311,FRS Link,NA
1003752,15080311,FRS Link,NA
